sample,lang,fips,state,cregion,eminuse,intmob,smart1,pial2,pial3,SmartPhone,employ,par,sex,age,educ2,hisp,race,inc,income,party,iphoneuse,hphoneuse
Landline,English,"TARRANT, TX",Texas,South,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Not employed,No,Male,75,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"$30,000 to under $40,000",$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"MOBILE, AL",Alabama,South,Yes,No,"Yes, smartphone","Yes, used internet/email yesterday","No, did not","Cell, smartphone",Not employed,No,Male,58,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000",$50K-LT $75K,Independent,Dual,Dual HH
Landline,English,"ALLEGHENY, PA",Pennsylvania,Northeast,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Female,51,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000",$75K+,Republican,Dual,Dual HH
Landline,English,"QUEENS, NY",New York,Northeast,No,No,,,,No cell,Not employed,No,Female,73,High school graduate (Grade 12 with diploma or GED certificate),Yes,White,"$30,000 to under $40,000",$30K-LT $50K,Democrat,llo,Dual HH
Landline,English,"JONES, MS",Mississippi,South,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","No, did not","Cell, not a smartphone",Employed full-time,No,Female,50,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,Black or African-American,"$30,000 to under $40,000",$30K-LT $50K,Democrat,Dual,Dual HH
Landline,English,"SHELBY, TN",Tennessee,South,Yes,No,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Not employed,No,Female,74,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,Don't know/Refused (VOL.),Undesignated,Democrat,Dual,Dual HH
Landline,English,"CHISAGO, MN",Minnesota,Midwest,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Not employed,No,Female,84,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000",Under $30K,Republican,Dual,Dual HH
Landline,English,"BERKSHIRE, MA",Massachusetts,Northeast,Yes,No,,"No, did not use internet/email yesterday",,No cell,Not employed,No,Female,50,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000",Under $30K,Independent,llo,LLO HH
Landline,English,"RICE, MN",Minnesota,Midwest,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Male,55,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,Don't know/Refused (VOL.),Undesignated,Democrat,Dual,Dual HH
Landline,English,"CUYAHOGA, OH",Ohio,Midwest,No,No,,,,No cell,Not employed,No,Female,87,Don't know/Refused,No,Black or African-American,Don't know/Refused (VOL.),Undesignated,Don't know/Refused (VOL.),llo,LLO HH
Landline,English,"PIMA, AZ",Arizona,West,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed part-time,Yes,Female,39,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$75,000 to under $100,000",$75K+,Independent,Dual,Dual HH
Landline,English,"WASHINGTON, UT",Utah,West,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Male,41,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000",$75K+,Republican,Dual,Dual HH
Landline,English,"KNOX, IN",Indiana,Midwest,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Male,36,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$150,000 or over",$75K+,Republican,Dual,Dual HH
Landline,English,"JEFFERSON, KY",Kentucky,South,Yes,Yes,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Not employed,No,Female,67,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000",$50K-LT $75K,Republican,Dual,Dual HH
Landline,English,"PUEBLO, CO",Colorado,West,Yes,Yes,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Employed part-time,No,Female,18,High school graduate (Grade 12 with diploma or GED certificate),No,White,Don't know/Refused (VOL.),$75K+,Republican,Dual,Dual HH
Landline,English,"LAWRENCE, SD",South Dakota,Midwest,Yes,No,"No, not a smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, not a smartphone",Not employed,No,Female,63,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000",$30K-LT $50K,Republican,Dual,Dual HH
Landline,English,"SAINT MARTIN, LA",Louisiana,South,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,No,Male,48,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000",$50K-LT $75K,Republican,Dual,Dual HH
Landline,English,"HARDIN, KY",Kentucky,South,No,No,"No, not a smartphone",,,"Cell, not a smartphone",Not employed,No,Female,72,High school graduate (Grade 12 with diploma or GED certificate),No,White,"Less than $10,000",Under $30K,Democrat,Dual,Dual HH
Landline,English,"WILLIAMSBURG, SC",South Carolina,South,No,No,Not sure/Don't know,,,"Cell, not a smartphone",Not employed,No,Male,61,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"Less than $10,000",Under $30K,Democrat,Dual,Dual HH
Landline,English,"HENDRICKS, IN",Indiana,Midwest,Yes,Yes,"Yes, smartphone","Yes, used internet/email yesterday","Yes, used at home","Cell, smartphone",Employed full-time,Yes,Female,48,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000",$50K-LT $75K,Republican,Dual,Dual HH
Landline,English,"RICE, KS",Kansas,Midwest,No,No,,,,No cell,Not employed,No,Female,65,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000",Under $30K,No preference (VOL.),llo,Dual HH
Landline,English,"YORK, PA",Pennsylvania,Northeast,Yes,(VOL.) Don't know,,"Yes, used internet/email yesterday","Yes, used at home",No cell,Not employed,No,Male,93,"Some college, no degree (includes some community college)",No,White,"$20,000 to under $30,000",Under $30K,Republican,llo,LLO HH
